Index,url,description,published date,published time,video length,views,likes,comments,shares,saves,play time,avg watch time,watched full video,new followers,retention rate (avg watch time),other (traffic),personal profile,search,for you,following,search queries,new viewers,returning viewers,non-followers,followers,Male,Female,18-24,25-34,35-44,45-54,55+,Other,US,Brazil,Mexico,UK,Vietnam,Saudi Arabia,top comments,Unnamed: 39
1,https://www.tiktok.com/@embilybond/video/6908283732637338886,Relatable? I think so #nottiktokfamousyet,7/29/19,11:30 AM,8.98s,230221,2403,27,12,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.tiktok.com/@embilybond/video/6912309472023153926,,12/30/2020,11:51 PM,48.09s,49428,340,6,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.tiktok.com/@embilybond/video/7178782100814974250,"This one is for my roomate (@aubsdyer), I definitely needed your emotional support for this one. #ballroomdance #ballroomhair #hair #asmr ",12/19/2022,2:02 AM,46.04s,57860639,2900000,36000,134000,202000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://www.tiktok.com/@embilybond/video/7187909944983883054,Replying to @trongtien2272006 answering some questionsssss and let me know if you want to see anything else from me #ballroomdance #ballroomhair #hair #asmr #yes i soak my hair in water #dontworry,1/12/2023,4:21 PM,28.58s,771036,17000,325,125,999,741h:28m:50s,3.5s,4.15%,767,12%,90.20%,8.10%,1.40%,0.20%,0.10%,"ballroom hair washing, Embliy, ballroom hair*",52%,48%,92%,8%,24%,76%,62%,26%,7%,,2%%,68%,11.10%,4.60%,4.40%,2.2%%,3.80%,,"look like, you look, you are, she said, say you",
5,https://www.tiktok.com/@embilybond/video/7191670279486082347,What an insane transformation! Definitely couldn’t do this by myself #ballroomdance #ballroomhair #ballroom #hairandmakeup #beauty #fringe #competition,1/22/2023,7:33 PM,10.33s,358290,5617,41,69,294,426h:18m:24s,4.3s,15.01%,244,42%,76.10%,22.20%,1.00%,0.10%,0.60%,"embilybond,ballet hair fringe, ballroom hair",48%,52%,89%,11%,17%,83%,58%,30%,8,,2,49.2,23.1,6,6.2,4.3,,,,
6,https://www.tiktok.com/@embilybond/video/7192690392221928747,"This makeup lasted me a whole competion and a few hours at disney (period 💅🏼), so she’s a lil rough.  #ballroomdance #ballroomhair #hairandmakeup #makeup #takeoffmymakeup ",1/25/2023,1:32 PM,24.87s,351293,3598,28,43,184,557h:57m:14s,5.7s,12.53%,169,23%,74.20%,21.40%,3.60%,0.20%,0.60%,"emily ballroom dancing, ballroom makeup removal, ballroom hair removal wash, ballroom hair removal",46,54,87,13,17,83,58,29,8,2,3,48,23.6,6.4,6.3,4.6,,,your hair,
7,https://www.tiktok.com/@embilybond/video/7193818180945464618,"Take my ballroom hair out with me, but… MY ROOMATE DOES THE COMMENTARY 🤪 #roomate #asmr #asmrsounds #ballroomhair #ballroom #hairandmakeup #getreadywithme ",1/28/2023,2:28 PM,576.28s,584771,10000,58,0.71,597,1894h:33m:34s,11.7s,8.17%,426,21%,47.10%,36.60%,15.90%,0.10%,0.30%,"ballroom hair removal, ballroom hair removal asmr",41,59,96,4,16,84,59,28,8,2,3,36.1,38,4.5,4.4,6.2,,,,
8,https://www.tiktok.com/@embilybond/video/7194340103341231403,Volume UPPP 🔊 watch me take my ballroom hair out  #asmr #asmrsounds #ballroom #hairandmakeup #hairspray #got2bglued #soundup #ReadySetLift #getreadywithme,1/30/2023,12:14 AM,50.78s,30787644,2000000,9892,64000,93000,179888h:17m:28s,21.0s,24.34,54544,41%,11.80%,85.20%,0.50%,0.00%,0.00%,"ballroom hai rremoval, taking out ballroom hair, ballroom hair removal snapping",41,59,96,4,21,79,63,27,6,2,2,33.6,17.7,13.2,12.1,5.9,,,,
9,https://www.tiktok.com/@embilybond/video/7195371272274988331,Replying to @kev1n_s__ taking my makeup off and answering some questions!! #asmr #ballroom #makeup #hairandmakeup #dance #got2bglued #micellarwater,2/1/2023,6:55 PM,39.26s,992163,36000,154,79,1406,5188h:22m:42s,18.9s,31.54,1252,48%,86.10%,12.40%,0.50%,0.70%,0.30%,ballroom hair removal wash,43%,577%,87%,13%,20%,80%,65,27,5,1,2,27.2,38.4,8.9,7.2,6.8,,,"without makeup, better without",
10,https://www.tiktok.com/@embilybond/video/7196722410698083630,Another ballroom hair removal!! After being at a competition over 14 hours #ballroom #hairandmakeup #competition #asmr #asmrsounds #dance #got2bglued #hairpsray #micellarwater #bun,2/5/2023,10:18 AM,32.97s,3500000,233000,1098,1856,8110,16517h:13m:53s,17.0s,29.07%,2701,51%,10.70%,3.60%,8.40%,77.10%,0.20%,"ballroom hair removal, ballroom hair removal snapping, ballroom hair removal wash it",45%,55,98,2,20,80,59,27,8,3,3,18.2,50.8,1.2,0.9,1.3,,17.8,,
