label,model,cv_mode,mean_r2,mean_rmse,mean_mae,mean_smape,mean_spearman,mean_topk
METADATA ONLY,ridge,standard,-1.7666980073552818,2.2449949217421263,1.7855786371354216,0.13689313420420726,0.08478057889822598,0.2222222222222222
FULL | PCA_MODE=none,ridge,standard,-0.830450666286049,1.8541985017108988,1.4683653769887355,0.10565770447799294,0.34276377217553694,0.4444444444444444
FULL | PCA_MODE=global,ridge,standard,-2.0489874867975346,2.2710130862795994,1.794258918434707,0.13560957898819023,0.27488328664799255,0.3333333333333333
FULL | PCA_MODE=block,ridge,standard,-1.457062981992635,2.162310607567818,1.6042240657025069,0.1223660425769471,0.33230625583566764,0.2222222222222222
METADATA ONLY,ridge,expanding,-1.7666980073552818,2.2449949217421263,1.7855786371354216,0.13689313420420726,0.08478057889822598,0.2222222222222222
FULL | PCA_MODE=none,ridge,expanding,-0.830450666286049,1.8541985017108988,1.4683653769887355,0.10565770447799294,0.34276377217553694,0.4444444444444444
FULL | PCA_MODE=global,ridge,expanding,-2.0489874867975346,2.2710130862795994,1.794258918434707,0.13560957898819023,0.27488328664799255,0.3333333333333333
FULL | PCA_MODE=block,ridge,expanding,-1.457062981992635,2.162310607567818,1.6042240657025069,0.1223660425769471,0.33230625583566764,0.2222222222222222
METADATA ONLY,elastic,standard,-1.8248785312888558,2.287963970068218,1.888942937979528,0.14568342375705748,9.337068160599389e-05,0.2222222222222222
FULL | PCA_MODE=none,elastic,standard,-0.5978081511750942,1.740024023408311,1.3663590095890583,0.09906553301896924,0.28244631185807656,0.3333333333333333
FULL | PCA_MODE=global,elastic,standard,-3.087373826428795,2.584211576845313,2.086380541018834,0.16119882826392432,0.25471521942110176,0.2222222222222222
FULL | PCA_MODE=block,elastic,standard,-1.7231333540828704,2.2937348056776026,1.691648053759545,0.13092978449289328,0.3136321195144725,0.2222222222222222
METADATA ONLY,elastic,expanding,-1.8248785312888558,2.287963970068218,1.888942937979528,0.14568342375705748,9.337068160599389e-05,0.2222222222222222
FULL | PCA_MODE=none,elastic,expanding,-0.5978081511750942,1.740024023408311,1.3663590095890583,0.09906553301896924,0.28244631185807656,0.3333333333333333
FULL | PCA_MODE=global,elastic,expanding,-3.087373826428795,2.584211576845313,2.086380541018834,0.16119882826392432,0.25471521942110176,0.2222222222222222
FULL | PCA_MODE=block,elastic,expanding,-1.7231333540828704,2.2937348056776026,1.691648053759545,0.13092978449289328,0.3136321195144725,0.2222222222222222
METADATA ONLY,xgboost,standard,-0.6307632630181846,1.7567104022905344,1.43865989193724,0.1031654791722665,0.028944911297852472,0.2222222222222222
FULL | PCA_MODE=none,xgboost,standard,-0.021924239818397712,1.367628108546687,1.0182012035044785,0.07365839371061322,0.3639589169000934,0.2222222222222222
FULL | PCA_MODE=global,xgboost,standard,0.033200307712712464,1.3465088761429405,1.048211352242552,0.07591616126058344,0.37731092436974795,0.2222222222222222
FULL | PCA_MODE=block,xgboost,standard,0.0018784044556589368,1.3590086812581996,1.0657580642008246,0.07725571166864763,0.3363211951447245,0.2222222222222222
METADATA ONLY,xgboost,expanding,-0.6307632630181846,1.7567104022905344,1.43865989193724,0.1031654791722665,0.028944911297852472,0.2222222222222222
FULL | PCA_MODE=none,xgboost,expanding,-0.021924239818397712,1.367628108546687,1.0182012035044785,0.07365839371061322,0.3639589169000934,0.2222222222222222
FULL | PCA_MODE=global,xgboost,expanding,0.033200307712712464,1.3465088761429405,1.048211352242552,0.07591616126058344,0.37731092436974795,0.2222222222222222
FULL | PCA_MODE=block,xgboost,expanding,0.0018784044556589368,1.3590086812581996,1.0657580642008246,0.07725571166864763,0.3363211951447245,0.2222222222222222
